episode,finalReward
08-01-02.yaml,[-0.9975971]
08-01-03.yaml,[-0.9975971]
08-02-01.yaml,[-0.9975971]
08-02-02.yaml,[-0.9975971]
08-02-03.yaml,[-0.9975971]
08-03-01.yaml,[-0.9975971]
08-03-02.yaml,[-0.9975971]
08-03-03.yaml,[-0.9975971]
08-04-01.yaml,[-0.99880695]
08-04-02.yaml,[-0.99880695]
08-04-03.yaml,[-0.99880695]
08-05-01.yaml,[-0.9975971]
08-05-02.yaml,[-0.9975971]
08-05-03.yaml,[-0.9975971]
08-06-01.yaml,[-0.9975971]
08-06-02.yaml,[-0.9975971]
08-06-03.yaml,[-0.9975971]
08-07-01.yaml,[-0.9975971]
08-07-02.yaml,[-0.9975971]
08-07-03.yaml,[-0.9975971]
08-08-01.yaml,[-0.9975971]
08-08-02.yaml,[-0.9975971]
08-08-03.yaml,[-0.9975971]
08-09-01.yaml,[-0.9975971]
08-09-02.yaml,[2.685]
08-09-03.yaml,[-0.9975971]
08-10-01.yaml,[-0.9975971]
08-10-02.yaml,[-0.9975971]
08-10-03.yaml,[-0.9975971]
08-11-01.yaml,[-0.9975971]
08-11-02.yaml,[-0.9975971]
08-11-03.yaml,[-0.9975971]
08-12-01.yaml,[-0.9975971]
08-12-02.yaml,[-0.9975971]
08-12-03.yaml,[-0.9975971]
08-13-01.yaml,[-0.9975971]
08-13-02.yaml,[-0.9975971]
08-13-03.yaml,[-0.9975971]
08-14-01.yaml,[-0.9975971]
08-14-02.yaml,[-0.9975971]
08-14-03.yaml,[-0.9975971]
08-15-01.yaml,[-0.9975971]
08-15-02.yaml,[-0.9975971]
08-15-03.yaml,[-0.9975971]
08-16-01.yaml,[-0.9975971]
08-16-02.yaml,[-0.9975971]
08-16-03.yaml,[-0.9975971]
08-17-01.yaml,[-0.9975971]
08-17-02.yaml,[-0.9975971]
08-17-03.yaml,[-0.9975971]
08-18-01.yaml,[1.0748024]
08-18-02.yaml,[-0.9975971]
08-18-03.yaml,[-0.9975971]
08-19-01.yaml,[-0.99880695]
08-19-02.yaml,[-1.1756]
08-19-03.yaml,[-1.8300041]
08-20-01.yaml,[-0.99880695]
08-20-02.yaml,[-1.6020002]
08-20-03.yaml,[-1.3987993]
08-21-01.yaml,[-1.2488004]
08-21-02.yaml,[-1.1087999]
08-21-03.yaml,[-0.99880695]
08-22-01.yaml,[-1.062]
08-22-02.yaml,[0.07430089]
08-22-03.yaml,[-1.9572062]
08-23-01.yaml,[-0.99880695]
08-23-02.yaml,[-0.99880695]
08-23-03.yaml,[-0.99880695]
08-24-01.yaml,[-1.1208]
08-24-02.yaml,[-1.2356004]
08-24-03.yaml,[-0.99880695]
08-25-01.yaml,[-1.7352026]
08-25-02.yaml,[-0.99880695]
08-25-03.yaml,[-0.99880695]
08-26-01.yaml,[-0.99880695]
08-26-02.yaml,[-0.99880695]
08-26-03.yaml,[-0.99880695]
08-27-01.yaml,[-1.2036003]
08-27-02.yaml,[-1.5131987]
08-27-03.yaml,[-0.99880695]
08-28-01.yaml,[1.4692011]
08-28-02.yaml,[-1.6376008]
08-28-03.yaml,[-0.99880695]
08-29-01.yaml,[-0.99880695]
08-29-02.yaml,[-0.99880695]
08-29-03.yaml,[-1.5571995]
08-30-01.yaml,[-1.6132004]
08-30-02.yaml,[-1.9096054]
08-30-03.yaml,[-0.99880695]
09-01-01.yaml,[-0.9975971]
09-01-02.yaml,[-0.9975971]
09-01-03.yaml,[-0.9975971]
09-02-01.yaml,[0.07480403]
09-02-02.yaml,[-0.9975971]
09-02-03.yaml,[5.452493]
09-03-01.yaml,[2.8804543]
09-03-02.yaml,[1.7160131]
09-03-03.yaml,[0.83398724]
09-04-01.yaml,[0.5899927]
09-04-02.yaml,[3.1756423]
09-04-03.yaml,[0.6027925]
09-05-01.yaml,[-0.9975971]
09-05-02.yaml,[0.19960088]
09-05-03.yaml,[-0.9975971]
09-06-01.yaml,[-0.9975971]
09-06-02.yaml,[0.7907884]
09-06-03.yaml,[3.814847]
09-07-01.yaml,[-0.9975971]
09-07-02.yaml,[-0.9975971]
09-07-03.yaml,[1.4424044]
09-08-01.yaml,[0.14920227]
